"conflict_type","openalex_id","publication_year","study_country","title","source_container","doi","url","marine_terrestrial","species_common","mitigation_tested","mitigation_outcome_measured","outcome_direction","tier"
"bycatch","W3186672508",2021,"multiple North African","Incidental catch of vulnerable species in Mediterranean and Black Sea fisheries - A review","FAO eBooks","https://doi.org/10.4060/cb5405en","https://doi.org/10.4060/cb5405en","marine","seabirds, sea turtles, elasmobranchs, marine mammals, macrobenthic invertebrates","yes","not stated","not stated","B_regional_corroborated"
"bycatch","W3029444820",2020,"Algeria","First study of sea turtle strandings in Algeria (western Mediterranean) and associated threats: 2016–2017","Herpetozoa","https://doi.org/10.3897/herpetozoa.33.e48541","https://doi.org/10.3897/herpetozoa.33.e48541","marine","loggerhead turtle, leatherback turtle, green turtle","yes","yes","not measured","A_named_country_corroborated"
"bycatch","W2981509526",2019,"Algeria","A stranding record of the short‐beaked common dolphin (Delphinus delphis) in Algerian West Coast, during 2008–2012","Aquatic Conservation Marine and Freshwater Ecosystems","https://doi.org/10.1002/aqc.3207","https://doi.org/10.1002/aqc.3207","marine","short‐beaked common dolphin","no","no","not measured","A_named_country_corroborated"
"bycatch","W2931379993",2019,"multiple North African","The thin edge of the wedge: extremely high extinction risk in wedgefishes and giant guitarfishes","bioRxiv (Cold Spring Harbor Laboratory)","https://doi.org/10.1101/595462","https://doi.org/10.1101/595462","marine",,"not stated","not stated","not stated","C_asserted_no_evidence"
"bycatch","W3093465490",2019,"multiple North African","Understanding and reducing the impact of fishing on discarded sharks and rays with innovative new tools for conservation and research","Research Online (University of Wollongong)",,"https://openalex.org/W3093465490","marine","sharks and rays","not stated","not stated","not stated","C_asserted_no_evidence"
"bycatch","304099714",2018,"multiple North African","Vulnerability of elasmobranchs as longline bycatch in the gulf of Gabes (Southern Tunisia, central Mediterranean sea).","AquaDocs",,"304099714","marine","blackchin guitarfish, hound sharks, sandbar shark","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","138701980",2017,"Tunisia","Distribution, abundance and population structure of Hexaplex trunculus and Bolinus brandaris (Gastropoda: Muricidae) in offshore areas of the Gulf of Gabès, southern Tunisia","AJOL - African Journals Online",,"138701980","marine","banded murex, purple dye murex","no","no","not stated","A_named_country_corroborated"
"bycatch","W2411907806",2016,"multiple North African","Flexible Turtle Excluder Device (TED): an effective tool for Mediterranean coastal multispecies bottom trawl fisheries","Aquatic Living Resources","https://doi.org/10.1051/alr/2016016","https://doi.org/10.1051/alr/2016016","marine","turtle","yes","yes","reduced conflict","C_asserted_no_evidence"
"bycatch","W2316595866",2016,"multiple North African","Shelf life: neritic habitat use of a turtle population highly threatened by fisheries","Diversity and Distributions","https://doi.org/10.1111/ddi.12440","https://doi.org/10.1111/ddi.12440","marine","loggerhead turtles","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","W2334098974",2016,"multiple North African","Elasmobranch captures in shrimps trammel net fishery off the Gulf of Gabès (Southern Tunisia, Mediterranean Sea)","Journal of Applied Ichthyology","https://doi.org/10.1111/jai.13061","https://doi.org/10.1111/jai.13061","marine","Mustelus mustelus, Mustelus punctulatus, Dasyatis pastinaca, Dasyatis marmorata, Torpedo torpedo, Carcharhinus plumbeus, Carcharhinus brevipinna","no","no","not measured","B_regional_corroborated"
"bycatch","310900409",2016,"multiple North African","Shelf life: Neritic habitat use of a turtle population highly threatened by fisheries","Open Research Exeter - University of Exeter",,"310900409","marine","loggerhead turtles","no","no","not measured","B_regional_corroborated"
"bycatch","W2016312766",2015,"multiple North African","Migratory corridors and foraging hotspots: critical habitats identified for Mediterranean green turtles","Diversity and Distributions","https://doi.org/10.1111/ddi.12317","https://doi.org/10.1111/ddi.12317","marine","green turtle","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","W2338260637",2015,"multiple North African","How much sea turtle bycatch is too much? A stationary age distribution model for simulating population abundance and potential biological removal in the Mediterranean","Endangered Species Research","https://doi.org/10.3354/esr00714","https://doi.org/10.3354/esr00714","marine",,"no","no","not measured","B_regional_corroborated"
"bycatch","312874712",2015,"multiple North African","Migratory corridors and foraging hotspots: Critical habitats identified for Mediterranean green turtles","Open Research Exeter - University of Exeter",,"312874712","marine","green turtle","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","W1757226906",2014,"multiple North African","Annual survival probabilities of juvenile loggerhead sea turtles indicate high anthropogenic impact on Mediterranean populations","Aquatic Conservation Marine and Freshwater Ecosystems","https://doi.org/10.1002/aqc.2467","https://doi.org/10.1002/aqc.2467","marine","loggerhead sea turtle","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","W3119471733",2013,"Egypt","THE ENCRUSTATION OF THE SPIDER CRAB HYASTENUS HILGENDORFI IN RELATION TO ITS REPRODUCTIVE BIOLOGY IN THE SUEZ CANAL, EGYPT","Delta Journal of Science","https://doi.org/10.21608/djs.2013.139625","https://doi.org/10.21608/djs.2013.139625","marine","spider crab","no","no","not measured","A_named_country_corroborated"
"bycatch","W2020587463",2013,"multiple North African","Mortality rates in by-caught loggerhead turtle Caretta caretta in the Mediterranean Sea and implications for the Atlantic populations","Marine Ecology Progress Series","https://doi.org/10.3354/meps10411","https://doi.org/10.3354/meps10411","marine","loggerhead turtle","no","no","not measured","C_asserted_no_evidence"
"bycatch","W2155616904",2013,"multiple North African","Do Marine Protected Areas in the Red Sea Afford Protection to Dugongs and Sea Turtles?","Journal of Biodiversity & Endangered Species","https://doi.org/10.4172/2332-2543.1000102","https://doi.org/10.4172/2332-2543.1000102","both","dugong, sea turtles, green turtles, hawksbill turtles","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","W930013270",2012,"multiple North African","Evaluating the Potential of Swordfish Buoy Gear as an Alternative to Pelagic Driftnets in the Artisanal Fisheries of Morocco and Turkey","NSUWorks (Nova Southeastern University)",,"https://openalex.org/W930013270","marine","swordfish","yes","yes",,"B_regional_corroborated"
"bycatch","W2022452219",2011,"multiple North African","Interactions of loggerhead turtle with bottom longline fishery in the Gulf of Gabès, Tunisia","Journal of the Marine Biological Association of the United Kingdom","https://doi.org/10.1017/s0025315411000312","https://doi.org/10.1017/s0025315411000312","marine","loggerhead turtle","no","no",,"B_regional_corroborated"
"bycatch","W2105633026",2011,"Egypt","Sea turtle bycatch and consumption in Egypt threatens Mediterranean turtle populations","Oryx","https://doi.org/10.1017/s0030605310001286","https://doi.org/10.1017/s0030605310001286","marine",,"not stated","not stated","not stated","A_named_country_corroborated"
"bycatch","W2018069372",2010,"Tunisia","Effect of type of bait on pelagic longline fishery–loggerhead turtle interactions in the Gulf of Gabes (Tunisia)","Aquatic Conservation Marine and Freshwater Ecosystems","https://doi.org/10.1002/aqc.1120","https://doi.org/10.1002/aqc.1120","marine","loggerhead sea turtles","no","no","not measured","A_named_country_corroborated"
"bycatch","W2479764566",2010,"Tunisia","05. Gillnet fishery – loggerhead turtle interactions in the Gulf of Gabes, Tunisia","Herpetological Journal",,"https://openalex.org/W2479764566","marine","loggerhead sea turtles","no","no","not stated","A_named_country_corroborated"
"bycatch","W2502035066",2007,"multiple North African","07. Impact of trawl fishery on marine turtles in the Gulf of Gabès, Tunisia","Herpetological Journal",,"https://openalex.org/W2502035066","marine","loggerhead","no","no","not measured","B_regional_corroborated"
"bycatch","W2556430982",2006,"multiple North African","EXTENDED ABSTRACT Trionyx triunguis: The brackish water turtle that also lives in the Mediterranean Sea",,,"https://openalex.org/W2556430982","both","Nile soft-shelled turtle","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","W4406692881",2004,"multiple North African","Guidelines for technical measures to minimise cetacean-fishery conflicts in the Mediterranean and Black Seas",,"https://doi.org/10.70978/czwc4257","https://doi.org/10.70978/czwc4257","marine","harbour porpoises","yes","yes","reduced conflict","C_asserted_no_evidence"
"bycatch","W7139743578",2004,"multiple North African","National Oceanic and Atmospheric Administration Report 26","University of North Texas Digital Library (University of North Texas)",,"https://openalex.org/W7139743578","marine","sea turtle","not stated","not stated","not stated","C_asserted_no_evidence"
"bycatch","W2154998326",2004,"multiple North African","ECOSYSTEM EFFECTS OF FISHING IN THE MEDITERREAN: AN ANALYSIS OF THE MAJOR THREATS OF FISHING GEAR AND PRACTICES TO BIODIVERSITY AND MARINE HABITATS",,,"https://openalex.org/W2154998326","marine","sharks, turtles, whales and seals","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","W1543624443",2003,"multiple North African","Seabird mortality from longline fishing in the Mediterranean Sea and Macaronesian waters: a review and a way forward","Scientia Marina","https://doi.org/10.3989/scimar.2003.67s257","https://doi.org/10.3989/scimar.2003.67s257","marine","Cory´s shearwater","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","W4391197122",2000,"multiple North African","Population biology, conservation threats and status of Mediterranean striped dolphins (Stenella coeruleoalba)","The journal of cetacean research and management. Special issue","https://doi.org/10.47536/jcrm.v2i1.485","https://doi.org/10.47536/jcrm.v2i1.485","marine","striped dolphin","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","W2134477843",1998,"multiple North African","Molecular resolution of marine turtle stock composition in fishery bycatch: a case study in the Mediterranean","Molecular Ecology","https://doi.org/10.1046/j.1365-294x.1998.00471.x","https://doi.org/10.1046/j.1365-294x.1998.00471.x","marine","loggerhead sea turtle","not stated","not stated","not stated","B_regional_corroborated"
"competition for resources","W4412419680",2025,"Morocco","A 25-year longitudinal assessment of Macaca sylvanus population dynamics and forest decline in Morocco's Middle Atlas","Biological Conservation","https://doi.org/10.1016/j.biocon.2025.111334","https://doi.org/10.1016/j.biocon.2025.111334","terrestrial","Barbary macaque","yes","yes","reduced conflict","A_named_country_corroborated"
"competition for resources","W4416337265",2025,"Algeria","Context Matters: How Decontextualization Influences Public Perception and Conservation Attitudes Toward Barbary Macaques in Algeria","Animals","https://doi.org/10.3390/ani15223319","https://doi.org/10.3390/ani15223319","terrestrial","Barbary macaques","no","no","not measured","A_named_country_corroborated"
"competition for resources","W4402276370",2024,"multiple North African","Intentional Killings and Culling of Small Cetaceans due to Perceived Competition with Fisheries in the Mediterranean Sea and Northeast Atlantic between the Eighteenth and Twentieth Centuries",,"https://doi.org/10.1201/9781003477518-2","https://doi.org/10.1201/9781003477518-2","marine","dolphins","yes","no","increased conflict","B_regional_corroborated"
"competition for resources","W4382645742",2023,"multiple North African","The occurrence of the Chinese Sinanodonta woodiana (Lea, 1834) (Mollusca Bivalvia Unionidae) in Algerian dams","BIODIVERSITY JOURNAL","https://doi.org/10.31396/biodiv.jour.2023.14.2.385.390","https://doi.org/10.31396/biodiv.jour.2023.14.2.385.390","both","Sinanodonta woodiana","not stated","not stated","not stated","B_regional_corroborated"
"competition for resources","W4319032897",2022,"multiple North African","The major threats to the Endangered Barbary macaque Macaca sylvanus in North Africa","European Journal of Ecology","https://doi.org/10.17161/eurojecol.v8i2.16246","https://doi.org/10.17161/eurojecol.v8i2.16246","terrestrial","Barbary macaque","not stated","not stated","not stated","B_regional_corroborated"
"competition for resources","W3108985652",2020,"multiple North African","Impact of Nile Crocodiles on Fish Production in Lake Nasser","Aswan University Journal of Environmental Studies","https://doi.org/10.21608/aujes.2020.124535","https://doi.org/10.21608/aujes.2020.124535",,,"no",,"not stated","B_regional_corroborated"
"competition for resources","W2981571986",2018,"multiple North African","SURVEYS OF WILD VERTEBRATES IN THE KHARGA AND DAKHLA OASIS AND THEIR IMPACT ON THE NEW RECLAMATION AREAS IN EGYPT","Egyptian Journal of Desert Research","https://doi.org/10.21608/ejdr.2019.12939.1028","https://doi.org/10.21608/ejdr.2019.12939.1028","terrestrial",,"no","no","not measured","B_regional_corroborated"
"competition for resources","W2788326307",2017,"Tunisia","Fish and fishing monitoring methods and indicators in Marine Protected Areas in Tunisia",,,"https://openalex.org/W2788326307","marine","not stated","no","no","not measured","A_named_country_corroborated"
"competition for resources","W2562670914",2016,"multiple North African","Biosocial Conservation: Integrating Biological and Ethnographic Methods to Study Human–Primate Interactions","International Journal of Primatology","https://doi.org/10.1007/s10764-016-9938-5","https://doi.org/10.1007/s10764-016-9938-5","terrestrial","gorilla","not stated","not stated","not stated","B_regional_corroborated"
"competition for resources","W2201706815",2015,"multiple North African","Roles of tourism in the local people’s opinion regarding human-macaque conflict in the central High Atlas, Morocco","Revue de primatologie","https://doi.org/10.4000/primatologie.2324","https://doi.org/10.4000/primatologie.2324","terrestrial","Barbary macaque","no","no","not measured","B_regional_corroborated"
"competition for resources","W2159155195",2010,"multiple North African","Ecosystem models clarify the trophic role of whales off Northwest Africa","Marine Ecology Progress Series","https://doi.org/10.3354/meps08443","https://doi.org/10.3354/meps08443","marine",,"no","no","not measured","C_asserted_no_evidence"
"competition for resources","W3042821301",1996,"Morocco","Fishing co-operation between the Kingdom of Morocco and the European Union : towards integrated and sustainable fisheries management","Maritime Commons The Digital Repository of World Maritime University (World Maritime University)",,"https://openalex.org/W3042821301","marine","fish","not stated","not stated","not stated","A_named_country_corroborated"
"crop damage","W7164761189",2026,"multiple North African","The Eurasian wild boar (Sus scrofa L., 1758): Recent advances in ecology, forest management, and human−wildlife interactions","Polskie Towarzystwo Leśne","https://doi.org/10.26202/sylwan.2026025","https://doi.org/10.26202/sylwan.2026025","terrestrial","Eurasian wild boar","not stated","not stated","not stated","B_regional_corroborated"
"crop damage","W7125912476",2025,"multiple North African","A REVIEW ON BIOLOGY AND MANAGEMENT OF GIANT AFRICAN SNAILS","Science Heritage Journal","https://doi.org/10.26480/gws.02.2025.53.57","https://doi.org/10.26480/gws.02.2025.53.57","terrestrial",,"yes","not stated","not stated","C_asserted_no_evidence"
"crop damage","W4411744005",2025,"multiple North African","Spatiotemporal dynamics of wild boar-induced crop damage in Southern Tunisian agroecosystems and the role of oasis characteristics","JOURNAL OF OASIS AGRICULTURE AND SUSTAINABLE DEVELOPMENT","https://doi.org/10.56027/joasd.192025","https://doi.org/10.56027/joasd.192025","terrestrial","wild boar","not stated","not stated","not stated","B_regional_corroborated"
"crop damage","W4395694977",2024,"Libya","The Most Effective Methods Used to Control Mole Rats, Spalax ehrenbergi, on Benghazi Plain Project in Libya","Egyptian Academic Journal of Biological Sciences F Toxicology & Pest Control","https://doi.org/10.21608/eajbsf.2024.351179","https://doi.org/10.21608/eajbsf.2024.351179","terrestrial","mole rats","yes","yes","reduced conflict","A_named_country_corroborated"
"crop damage","W4407867762",2024,"Egypt","Estimating the Damage of Birds to Wheat, Gurma Melon and Cowpea Crops During the Ripening Period at Sharkia Governorate, Egypt","Arab Journal Of Plant Protection","https://doi.org/10.22268/ajpp-001281","https://doi.org/10.22268/ajpp-001281","terrestrial","house sparrow","not stated","not stated","not stated","A_named_country_corroborated"
"crop damage","W4406218147",2024,"Morocco","Toxicity, antifeedant and repellent activities of five essential oils on adult Cassida vittata Vill. (Coleoptera: Chrysomelidae)","Journal of Plant Protection Research","https://doi.org/10.24425/jppr.2024.151820","https://doi.org/10.24425/jppr.2024.151820","terrestrial","Cassida vittata","yes","yes","reduced conflict","A_named_country_corroborated"
"crop damage","W4404061647",2024,"multiple North African","Barn Owls as a Nature-Based Solution for Pest Control: A Multinational Initiative Around the Mediterranean and Other Regions","Conservation","https://doi.org/10.3390/conservation4040039","https://doi.org/10.3390/conservation4040039","terrestrial","Barn Owls","yes","yes","reduced conflict","B_regional_corroborated"
"crop damage","W4390354179",2023,"Algeria","What does the diet of the Common Starling (Sturnus vulgaris Linnaeus, 1758) in the Ziban Oasis (Algeria) indicate: pest or useful in agriculture?","Zoology and Ecology","https://doi.org/10.35513/21658005.2023.2.10","https://doi.org/10.35513/21658005.2023.2.10","terrestrial","Common Starlings","not stated","not stated","not stated","A_named_country_corroborated"
"crop damage","W4312158089",2022,"multiple North African","Disclosing the determinants, drivers and predictors of bird depredation on date palm (Phoenix dactylifera L.) production","Journal of the Saudi Society of Agricultural Sciences","https://doi.org/10.1016/j.jssas.2022.12.003","https://doi.org/10.1016/j.jssas.2022.12.003","terrestrial","sparrows","no","no","not measured","C_asserted_no_evidence"
"crop damage","W4307710763",2022,"Egypt","Damage of the Egyptian Fruit Bat (Rousettus aegyptiacus) at El-Dakhla Oasis, New-Valley Governorate, Egypt","Indian Journal of Agricultural Research","https://doi.org/10.18805/ijare.af-743","https://doi.org/10.18805/ijare.af-743","terrestrial","Egyptian fruit bat","not stated","not stated","not stated","A_named_country_corroborated"
"crop damage","W4294096698",2022,"multiple North African","Losses of tomato crop by wild birds in El-Beheira and Matrouh governorates, Egypt","Al-Azhar Journal of Agricultural Research","https://doi.org/10.21608/ajar.2022.255498","https://doi.org/10.21608/ajar.2022.255498","terrestrial","hooded crow, house sparrow","no","no","not measured","B_regional_corroborated"
"crop damage","W3196770489",2021,"Egypt","Economic Losses Caused By Rodents in Some Cultivars of Rodents in Maize Fields","Research and Analysis Journal","https://doi.org/10.18535/raj/v4i09.02","https://doi.org/10.18535/raj/v4i09.02","terrestrial","rodents","not stated","not stated","reduced conflict","A_named_country_corroborated"
"crop damage","W3183573263",2021,"Egypt","Assessment of damage caused by rodents in some maize varieties in Farshut area, Qena governorate, Egypt","Archives of Agriculture Sciences Journal/Archives of Agriculture Sciences Journal ","https://doi.org/10.21608/aasj.2021.65638.1057","https://doi.org/10.21608/aasj.2021.65638.1057","terrestrial","rodents","no","no","not measured","A_named_country_corroborated"
