"n","authors_formatted","authors_raw","publication_year","title","source_container","doi","url","study_country","conflict_type","marine_terrestrial","species_common","openalex_id","tier","metadata_flag"
11,"Lipa, W., Iacolina, L. & Dzialuk, A.","Wojciech Lipa; Laura Iacolina; Artur Dzialuk",2026,"The Eurasian wild boar (Sus scrofa L., 1758): Recent advances in ecology, forest management, and human−wildlife interactions","Polskie Towarzystwo Leśne","https://doi.org/10.26202/sylwan.2026025","https://doi.org/10.26202/sylwan.2026025","multiple North African","crop damage","terrestrial","Eurasian wild boar","W7164761189","B_regional_corroborated",""
12,"Ezat, M. A., Langevelde, F. v. & Naguib, M.","Mohamed A. Ezat; Frank van Langevelde; Marc Naguib",2026,"What do fishermen think? Local perspectives on human–crocodile coexistence in Lake Nasser","Frontiers in Conservation Science","https://doi.org/10.3389/fcosc.2026.1854789","https://doi.org/10.3389/fcosc.2026.1854789","Egypt","property damage","both","crocodile","W7165652291","A_named_country_corroborated",""
13,"Hamza, A., Abunaqassa, A. A., Al-Qrew, N. A. & Saleh, N.","Abdulmaula Hamza; Amal Abdel-Aziz Abunaqassa; Nusaiba Adel Al-Qrew; Noura Saleh",2025,"&lt;b&gt;Artisanal fisher ecological knowledge with morphometric measurements of Angel Sharks form Libya, Central Mediterranean&lt;/b&gt;","Open Veterinary Journal","https://doi.org/10.5455/ovj.2025.v15.i5.23","https://doi.org/10.5455/ovj.2025.v15.i5.23","Libya","not stated","marine","Angel Sharks","W4411035654","A_named_country_corroborated",""
14,"Jribi, I.","Imed Jribi",2025,"&lt;b&gt;Impact of light pollution on the success of loggerhead turtle nesting in Chebba, Tunisia&lt;/b&gt;","Open Veterinary Journal","https://doi.org/10.5455/ovj.2025.v15.i10.51","https://doi.org/10.5455/ovj.2025.v15.i10.51","Tunisia","not stated","both","loggerhead turtle","W4415743148","A_named_country_corroborated",""
15,"Ciani, A., Musumeci, G., Arahou, M., Mouna, M. & Camperio, G.","Andrea Ciani; Gianluca Musumeci; M. Arahou; Mohamed Mouna; Giorgia Camperio",2025,"A 25-year longitudinal assessment of Macaca sylvanus population dynamics and forest decline in Morocco's Middle Atlas","Biological Conservation","https://doi.org/10.1016/j.biocon.2025.111334","https://doi.org/10.1016/j.biocon.2025.111334","Morocco","competition for resources","terrestrial","Barbary macaque","W4412419680","A_named_country_corroborated",""
16,"Gadekar, M. P.","M. P Gadekar",2025,"A REVIEW ON BIOLOGY AND MANAGEMENT OF GIANT AFRICAN SNAILS","Science Heritage Journal","https://doi.org/10.26480/gws.02.2025.53.57","https://doi.org/10.26480/gws.02.2025.53.57","multiple North African","crop damage","terrestrial",,"W7125912476","C_asserted_no_evidence",""
17,"Dahel, A. T., FERROUDJ, S. & Samar, M. F.","Amina Tania Dahel; S. FERROUDJ; Mohamed Faouzi Samar",2025,"ASSESSING THE POPULATION PARAMETERS OF EUROPEAN ANCHOVY, ENGRAULIS ENCRASICOLUS (LINNAEUS, 1758) IN ALGERIAN EAST COAST (SOUTHWESTERN MEDITERRANEAN SEA)","Applied Ecology and Environmental Research","https://doi.org/10.15666/aeer/2301_13471363","https://doi.org/10.15666/aeer/2301_13471363","Algeria","not stated","marine","Anchovies","W4407107407","A_named_country_corroborated",""
18,"Kabasakal, H.","Hakan Kabasakal",2025,"Analisi degli attacchi di squali confermati nel Mediterraneo orientale e nel Mar di Marmara (1827-2025)","DiRROS repository (University of Maribor)",,"https://openalex.org/W7166600224","multiple North African","attacks on humans","marine",,"W7166600224","B_regional_corroborated",""
19,"al., A. e.","Ahannach et al.",2025,"Analysis of Cetacean Strandings Along the Moroccan Mediterranean Coast: Spatial and Temporal Patterns","Egyptian Journal of Aquatic Biology and Fisheries","https://doi.org/10.21608/ejabf.2025.443737","https://doi.org/10.21608/ejabf.2025.443737","Morocco","other","marine","striped dolphin, common dolphin","W4412859634","A_named_country_corroborated",""
20,"Razkallah, I. et al.","Imane Razkallah; Sadek Atoussi; Thaís Q. Morcatty; Rabah Zebsa; Cédric Sueur; K. A. I. Nekaris",2025,"Context Matters: How Decontextualization Influences Public Perception and Conservation Attitudes Toward Barbary Macaques in Algeria","Animals","https://doi.org/10.3390/ani15223319","https://doi.org/10.3390/ani15223319","Algeria","competition for resources","terrestrial","Barbary macaques","W4416337265","A_named_country_corroborated",""
21,"Hayder, F., Madikiza, Z. J. & San, E. D. L.","Firas Hayder; Zimkitha J.K. Madikiza; Emmanuel Do Linh San",2025,"Distribution, threats, population trends, and ecology of the Saharan Striped Polecat ( Poecilictis libyca ) in Tunisia: a questionnaire and field-based survey","Journal of Mammalogy","https://doi.org/10.1093/jmammal/gyaf043","https://doi.org/10.1093/jmammal/gyaf043","Tunisia","other","terrestrial","Saharan Striped Polecat","W4412364748","A_named_country_corroborated",""
22,"Louhichi, R., Enajjar, S., Bradaï, M. N. & Saïdi, B.","Rihab Louhichi; Samira Enajjar; Mohamed Nejmeddine Bradaï; Béchir Saïdi",2025,"Elasmobranch fisheries in Tunisia: Characterization, fishermen’s insights and conservation options","Regional Studies in Marine Science","https://doi.org/10.1016/j.rsma.2025.104465","https://doi.org/10.1016/j.rsma.2025.104465","Tunisia",,"marine","not stated","W4413915988","A_named_country_corroborated",""
23,"Hamiche, F. Z. et al.","Fatima Zahra Hamiche; Abdelhamid Kaddouri; Zakariaa Taoufik; Mounia Touaf; Youssef Ahannach; Mustapha Aksissou",2025,"Fishery Bycatch of Sea Turtles in the Moroccan Western Mediterranean Sea: An Assessment Based on Interviews with Fishermen","Egyptian Journal of Aquatic Biology and Fisheries","https://doi.org/10.21608/ejabf.2025.437909.6913","https://doi.org/10.21608/ejabf.2025.437909.6913","multiple North African","bycatch","marine","sea turtle","W4416845933","B_regional_corroborated",""
24,"Fundaro', D., Vivaldi, C. & Santini, L.","Davide Fundaro'; Carlotta Vivaldi; Luca Santini",2025,"Fishing shapes cetacean population density patterns in the Mediterranean basin","Ecography","https://doi.org/10.1002/ecog.07919","https://doi.org/10.1002/ecog.07919","multiple North African","bycatch","marine","cetaceans","W4416097950","C_asserted_no_evidence",""
25,"Arora, J.","Jyoti Arora",2025,"GLOBAL AND LOCAL DRIVERS OF CORAL REEF DEGRADATION: KEY STRATEGIES FOR MITIGATING DAMAGE AND FOSTERING RESILIENCE","International Journal of Biological Innovations","https://doi.org/10.46505/ijbi.2025.7215","https://doi.org/10.46505/ijbi.2025.7215","multiple North African","not stated","marine","not stated","W4414777589","C_asserted_no_evidence",""
26,"Louhichi, M. & Jribi, I.","Maissa Louhichi; Imed Jribi",2025,"Impact of bycatch in tunisian coastal fisheries:Proposed fishing gear and practice modifications to Mitigate the effect on threatened sea turtles","Open MIND","https://doi.org/10.60713/pist-201256","https://doi.org/10.60713/pist-201256","multiple North African","bycatch","marine","sea turtles","W7137890517","B_regional_corroborated",""
27,"Bensalem, M. et al.","Mounira Bensalem; Amina Amrani; Hadjer Zaidi; Sedrati Fateh; Omar Laouar; Zhi Wang; Hichèm Nasri",2025,"Impact of long-term cyanotoxin exposure on cattle: Biochemical, histological, and oxidative stress assessment","Veterinary World","https://doi.org/10.14202/vetworld.2025.189-201","https://doi.org/10.14202/vetworld.2025.189-201","Algeria","not stated","not stated","not stated","W4406918266","A_named_country_corroborated",""
28,"Carlson, A. K.","Andrew K. Carlson",2025,"Mahi-mahi metacouplings: quantifying human–nature interactions in dolphinfish (Coryphaena hippurus) fisheries","Global Sustainability","https://doi.org/10.1017/sus.2025.3","https://doi.org/10.1017/sus.2025.3","multiple North African","not stated","marine","dolphinfish","W4409624720","C_asserted_no_evidence",""
29,"Barnouin, G. et al.","Guillaume Barnouin; Roy El Hourany; Nicholas R. Record; Zlatka Bajc; James Kennedy; Antoine Lafitte; Marie‐Yasmine Dechraoui Bottein",2025,"Marine biotoxins in Mediterranean seafood: Environmental occurrence and food safety concerns","Ecotoxicology and Environmental Safety","https://doi.org/10.1016/j.ecoenv.2025.119032","https://doi.org/10.1016/j.ecoenv.2025.119032","multiple North African","not stated",,"not stated","W4414163724","C_asserted_no_evidence",""
30,"Monaco, C., Carpentieri, P., Zarrouk, A., Nakhala, L. B. & Cavallé, M.","Clara Monaco; Paolo Carpentieri; Anis Zarrouk; Lobna Ben Nakhala; Marta Cavallé",2025,"Mitigating dolphin depredation in Mediterranean fisheries: results and insights from collaborative efforts for cetacean conservation and sustainable fisheries",,"https://doi.org/10.5194/oos2025-1359","https://doi.org/10.5194/oos2025-1359","multiple North African",,"marine","dolphin","W4408823380","B_regional_corroborated",""
31,"[Authors not resolved in OpenAlex]",,2025,"Myths about Wildlife use for Medicinal Purposes",,"https://doi.org/10.47278/book.hh/2025.32","https://doi.org/10.47278/book.hh/2025.32","multiple North African","not stated","not stated","not stated","W4412637076","C_asserted_no_evidence",""
32,"Rizi, H., Loucif, K., Houhamdi, I., BAALOUDJ, A. & Houhamdi, M.","Hadia Rizi; Karim Loucif; Ines Houhamdi; Affef BAALOUDJ; Moussa Houhamdi",2025,"Nesting Biology of the Aquatic Mallards Anas platyrhynchos Linnaeus, 1758 in Lake Tonga, El Kala National Park, Algeria","Egyptian Journal of Aquatic Biology and Fisheries","https://doi.org/10.21608/ejabf.2025.356503.5314","https://doi.org/10.21608/ejabf.2025.356503.5314","Algeria","persecution or retaliatory killing","both","Mallards","W7114772952","A_named_country_corroborated",""
33,"Ezat, M. A., Molenaar, E., Naguib, M. & Langevelde, F. v.","Mohamed A. Ezat; Elke Molenaar; Marc Naguib; Frank van Langevelde",2025,"Nile Crocodiles in Lake Nasser, Egypt, Are Found Close to Fishermen's Camps, Indicating Potential Conflicts","Ecology and Evolution","https://doi.org/10.1002/ece3.71970","https://doi.org/10.1002/ece3.71970","Egypt","not stated","both","Nile crocodile","W4413922878","A_named_country_corroborated",""
34,"Gažo, M. et al.","M. Gažo; Odei Garcia‐Garin; Sarah Soler‐Ruiz; Laura Fernández‐Suárez; Antonella Arcangeli; Léa David; Morgana Vighi",2025,"Out of Sight, out of Mind? Evidence of Human‐Induced Threats in the Elusive  Ziphius cavirostris  of the Mediterranean Sea","Ecology and Evolution","https://doi.org/10.1002/ece3.71790","https://doi.org/10.1002/ece3.71790","multiple North African","other",,"beaked whale","W4412190053","B_regional_corroborated",""
35,"Bradaï, M. N., Jribi, I., Saïdi, B. & Enajjar, S.","Mohamed Nejmeddine Bradaï; Imed Jribi; Béchir Saïdi; Samira Enajjar",2025,"Sea Turtles in Tunisia: An Overview on their Status and Conservation Effort","IntechOpen eBooks","https://doi.org/10.5772/intechopen.1008239","https://doi.org/10.5772/intechopen.1008239","multiple North African","other","both","sea turtles","W4407427266","B_regional_corroborated",""
36,"Navarro‐Herrero, L. et al.","Leia Navarro‐Herrero; David March; Teresa Militão; Sarah Saldanha; Fernando Medrano; Diego Vicente‐Sastre; Jazel Ouled‐Cheikh; Raül Ramos; Diana M. Matos; Isabel Cristina Rodrigues; Vítor H. Paiva; José P. Granadeiro; Paulo Catry; Andreia Leal; Herculano Dinis; Jacob González‐Solís",2025,"Seabird‐vessel interactions in industrial fisheries of Northwest Africa: Implications for international bycatch management","Journal of Applied Ecology","https://doi.org/10.1111/1365-2664.70139","https://doi.org/10.1111/1365-2664.70139","multiple North African","bycatch","marine","Cape Verde shearwaters, Cory's shearwaters, Audouin's gulls","W4413766820","C_asserted_no_evidence",""
37,"Quezada-Escalona, F. J. et al.","Felipe J. Quezada-Escalona; Désirée Tommasi; Isaac C. Kaplan; Pierre‐Yves Hernvann; Timothy H. Frawley; Dorleta García; Leire Ibaibarriaga; Sonia Sánchez; Carryn de Moor; Jennifer Beckensteiner; Amy M. Schueller; Diana Feijó; Domenico Ciorciaro; Hiroyuki Kurota; Ricardo Oliveros‐Ramos; Robert P. Wildermuth; Ray Mroch; Laura Wise; M. R. Baker; Cecilie Hansen; Sidi Ahmed Hemed; Timothée Brochier; Stephen M. Stohs; Concepción Enciso-Enciso; Nis S. Jacobsen",2025,"Socio-economic impacts and responses of the fishing industry and fishery managers to changes in small pelagic fish distribution and abundance","Reviews in Fish Biology and Fisheries","https://doi.org/10.1007/s11160-025-09949-4","https://doi.org/10.1007/s11160-025-09949-4","multiple North African","not stated","marine","not stated","W4409958323","C_asserted_no_evidence",""
38,"Ghandri, A. et al.","Aida Ghandri; Marouane Louhichi; Yamna Karssene; Yousra Zemzemi; Mohsen Jarray; Ali A. Zaidi; Mohsen Chammem",2025,"Spatiotemporal dynamics of wild boar-induced crop damage in Southern Tunisian agroecosystems and the role of oasis characteristics","JOURNAL OF OASIS AGRICULTURE AND SUSTAINABLE DEVELOPMENT","https://doi.org/10.56027/joasd.192025","https://doi.org/10.56027/joasd.192025","multiple North African","crop damage","terrestrial","wild boar","W4411744005","B_regional_corroborated",""
39,"Noby, K., Heitkönig, I., Bulte, E. & Naguib, M.","Khaled Noby; I.M.A. Heitkönig; Erwin Bulte; Marc Naguib",2025,"Sustainability and avian biodiversity tensions in wastewater management in arid zones","Biological Conservation","https://doi.org/10.1016/j.biocon.2025.111046","https://doi.org/10.1016/j.biocon.2025.111046","Egypt","not stated","terrestrial","Northern shoveler, barn swallow","W4408273783","A_named_country_corroborated",""
40,"Farrag, M. M., Mustafa, A. A., Abdelazim, I. M. & Osman, Y. A. A.","Mahmoud M.S. Farrag; Ahmed A. Mustafa; Ismail M. Abdelazim; Yassein A. A. Osman",2025,"Vulnerable Marine Vertebrates along the Egyptian Mediterranean Coast: Challenges to the Anthropogenic, Fisheries Bycatch and Climatic Changes","IntechOpen eBooks","https://doi.org/10.5772/intechopen.1009504","https://doi.org/10.5772/intechopen.1009504","Egypt","bycatch","marine","not stated","W4408717697","A_named_country_corroborated",""
41,"Eissa, A. E.","Alaa Eldin Eissa",2024,"A mini-review on fish mass kills within the Egyptian fisheries and aquaculture sectors: Impacts and proposed solutions","Journal of Applied Veterinary Sciences/Journal of Applied Veterinary Sciences ","https://doi.org/10.21608/javs.2024.262508.1308","https://doi.org/10.21608/javs.2024.262508.1308","multiple North African",,"both","not stated","W4392625107","B_regional_corroborated",""
42,"Insacco, G. et al.","Gianni Insacco; Bruno Zava; Filippo Spadola; Danilo Scannella; Alan Deidun; Franco Cigala-Fulgosi; M. Valastro; Antonio Di Natale; Corrado Piccinetti; Maria Corsini-Foka",2024,"Additional records of the little sleeper shark, Somniosus rostratus (Elasmobranchii: Squaliformes: Somniosidae), in Mediterranean Sea","Acta Ichthyologica Et Piscatoria","https://doi.org/10.3897/aiep.54.121813","https://doi.org/10.3897/aiep.54.121813","multiple North African","bycatch","marine","not stated","W4399672673","B_regional_corroborated",""
43,"Christidis, G. et al.","Georgios Christidis; Stratos Batziakas; Panagiota Peristeraki; Evangelos Tzanatos; Stylianos Somarakis; George Tserpes",2024,"Another One Bites the Net: Assessing the Economic Impacts of Lagocephalus sceleratus on Small-Scale Fisheries in Greece","Fishes","https://doi.org/10.3390/fishes9030104","https://doi.org/10.3390/fishes9030104","multiple North African","property damage","marine","silver-cheeked toadfish","W4392545263","B_regional_corroborated",""
44,"Utrilla, P. S.","Pilar Sánchez Utrilla",2024,"Anàlisi del grau de solapament entre l&apos;esforç de pesca aparent i l&apos;hàbitat de la tortuga boba en el Mediterrani occidental","RiuNet (Universitat Politècnica de València)",,"https://openalex.org/W7164091231","multiple North African","bycatch",,"loggerhead turtles","W7164091231","C_asserted_no_evidence",""
45,"Veli, D. L. et al.","Daniel Li Veli; José Carlos Báez Barrionuevo; Giada Bargione; Giulio Barone; Marouene Bdioui; Pierluigi Carbonara; Reda M. Fahim; Maria Cristina Follesa; Gökhan Gökçe; Hatem H. Mahmoud; Alessandro Ligas; Mohammed Malouli Idrissi; Giulia Moramarco; Marina Panayotova; Andrea Petetta; Jacques Sacchi; Konstantinos Tsagarakis; Massimo Virgili; Alessandro Lucchetti",2024,"Assessing the vulnerability of sensitive species in Mediterranean fisheries: insights from productivity-susceptibility analysis","Frontiers in Marine Science","https://doi.org/10.3389/fmars.2024.1411033","https://doi.org/10.3389/fmars.2024.1411033","multiple North African","bycatch","marine","sea turtles","W4402784425","C_asserted_no_evidence",""
46,"Fitori, A. & -, A. E. F.","Amani Fitori; Ali El Fituri -",2024,"Assessment of Morphometric Characteristics and Conservation Challenges of Pteroplatytrygon Violacea (Bonaparte, 1832) in Libyan Waters","International Journal For Multidisciplinary Research","https://doi.org/10.36948/ijfmr.2024.v06i06.30931","https://doi.org/10.36948/ijfmr.2024.v06i06.30931","multiple North African","bycatch","marine","pelagic stingray","W4413435269","B_regional_corroborated",""
47,"Bontzorlos, V. et al.","Vasileios Bontzorlos; Shlomo Cain; Yossi Leshem; Orr Spiegel; Yoav Motro; Itai Bloch; Sidi Imad Cherkaoui; Shaul Aviel; Melpo Apostolidou; Antaia Christou; Harris Nicolaou; Nikolaos Kassinis; Mansour Abu Rashid; Mary Bahdouhesh; Alexandre Roulin",2024,"Barn Owls as a Nature-Based Solution for Pest Control: A Multinational Initiative Around the Mediterranean and Other Regions","Conservation","https://doi.org/10.3390/conservation4040039","https://doi.org/10.3390/conservation4040039","multiple North African","crop damage","terrestrial","Barn Owls","W4404061647","B_regional_corroborated",""
48,"Sungkawati, E. & Umali, J.","Endang Sungkawati; Jamal Umali",2024,"Blue Carbon and Food Security: A Systematic Review of Mangrove Ecosystem Services for SDG 13 (Climate Action) and SDG 2 (Zero Hunger)","Assyfa Journal of Farming and Agriculture","https://doi.org/10.61650/ajfa.v2i1.871","https://doi.org/10.61650/ajfa.v2i1.871","multiple North African","not stated","both","not stated","W4414984302","C_asserted_no_evidence",""
49,"Abdelhady, A. A. et al.","Ahmed Awad Abdelhady; Mohamed Samy‐Kamal; Esam Ismail; Ali M. Hussain; Dimitra E. Gamvroula; Ahmed Ali; Mohamed S. Ahmed; Khalaf H.M. Abdel-Raheem; Hakim Saibi; Mabrouk Sami; Dimitrios Ε. Alexakis; Mahmoud M. Khalil",2024,"Climate Warming and Mismanagement Drive the Shift of Fish Communities in the Wadi El-Rayan Arid Lakes","Water","https://doi.org/10.3390/w16182685","https://doi.org/10.3390/w16182685","multiple North African","not stated",,"Nile tilapia, mullet, and grass carp","W4402750361","B_regional_corroborated",""
50,"Giovos, I. et al.","Ioannis Giovos; Jennifer M. Pytka; Monica Barone; Lydia Koehler; Camille Loth; Jason Lowther; Dimitrios K. Moutopoulos; Simone Niedermüller; Carlotta Mazzoldi",2024,"Conservation and management of chondrichthyans in the Mediterranean Sea: gaps, overlaps, inconsistencies, and the way forward","Reviews in Fish Biology and Fisheries","https://doi.org/10.1007/s11160-024-09857-z","https://doi.org/10.1007/s11160-024-09857-z","multiple North African","not stated","marine","not stated","W4400337172","C_asserted_no_evidence",""
51,"Habib, M. A.","Mohamed A. Habib",2024,"Crucial Conservation of Birds and Bats: Providing Ecosystem Services in Egypt","Journal of Plant and Food Sciences","https://doi.org/10.21608/jpfs.2024.280949.1015","https://doi.org/10.21608/jpfs.2024.280949.1015","Egypt","not stated","terrestrial",,"W4405163001","A_named_country_corroborated",""
52,"Salama, M., Aamir, M., Farag, A., Issa, M. & Hendawy, M.","M. Salama; Muhammad Aamir; Ahmed Farag; M. Issa; M. Hendawy",2024,"Estimating the Damage of Birds to Wheat, Gurma Melon and Cowpea Crops During the Ripening Period at Sharkia Governorate, Egypt","Arab Journal Of Plant Protection","https://doi.org/10.22268/ajpp-001281","https://doi.org/10.22268/ajpp-001281","Egypt","crop damage","terrestrial","house sparrow","W4407867762","A_named_country_corroborated",""
53,"Tiralongo, F., Nota, A., Mancini, E. & Musco, L.","Francesco Tiralongo; Alessandro Nota; Emanuele Mancini; Luigi Musco",2024,"Ferite inferte all’uomo dal sarago maggiore (Diplodus sargus)","DiRROS repository (University of Maribor)",,"https://openalex.org/W7167993435","multiple North African","attacks on humans","marine","not stated","W7167993435","C_asserted_no_evidence",""
54,"Clua, É. et al.","Éric Clua; C.-C. Meyer; Mark Freeman; Sandra Baksay; Hadrien Bidenbach; Anne Haguenauer; John D. C. Linnell; Clémentine Séguigne; Steven Surina; Michel Vély; Thomas Vignaud; Serge Planes",2024,"First Evidence of Individual Sharks Involved in Multiple Predatory Bites on People","Conservation Letters","https://doi.org/10.1111/conl.13067","https://doi.org/10.1111/conl.13067","multiple North African","attacks on humans","marine","tiger shark, oceanic whitetip shark","W4404190222","C_asserted_no_evidence",""
55,"Alshalah, A., Williams, D. J. & Ferrario, A.","Ali Alshalah; David J. Williams; Alessandra Ferrario",2024,"From fangs to antidotes: A scoping review on snakebite burden, species, and antivenoms in the Eastern Mediterranean Region","PLoS neglected tropical diseases","https://doi.org/10.1371/journal.pntd.0012200","https://doi.org/10.1371/journal.pntd.0012200","multiple North African","other","not stated","not stated","W4401165658","B_regional_corroborated",""
56,"Boussellaa, W. et al.","Wiem Boussellaa; Mohamed Nejmeddine Bradaï; Hamed Mallat; Samira Enajjar; Béchir Saïdi; Imed Jribi",2024,"Ghost Gear in the Gulf of Gabès (Tunisia): An Urgent Need for a Conservation Code of Conduct","Preprints.org","https://doi.org/10.20944/preprints202407.2113.v1","https://doi.org/10.20944/preprints202407.2113.v1","Tunisia","not stated","marine","not stated","W4401129331","A_named_country_corroborated",""
57,"Boussellaa, W. et al.","Wiem Boussellaa; Mohamed Nejmeddine Bradaï; Hamed Mallat; Samira Enajjar; Béchir Saïdi; Imed Jribi",2024,"Ghost Gear in the Gulf of Gabès (Tunisia): An Urgent Need for a Conservation Code of Conduct","Sustainability","https://doi.org/10.3390/su16188003","https://doi.org/10.3390/su16188003","multiple North African","other","marine","not stated","W4402524969","B_regional_corroborated",""
58,"Louhichi, M., Girard, A. & Jribi, I.","Maissa Louhichi; Alexandre Girard; Imed Jribi",2024,"High Loggerhead (Caretta caretta) Bycatch Rate along with Several Endangered Target Species: Two Reasons to Look for Alternative to Traditional Large-Mesh Bottom-Set Gillnets (Garrasia) for More Sustainable Fisheries in the Gulf of Gabès (Tunisia)","Sustainability","https://doi.org/10.3390/su16093713","https://doi.org/10.3390/su16093713","Tunisia","bycatch","marine","sea turtles","W4396218332","A_named_country_corroborated",""
59,"Cardona, L. et al.","Luís Cardona; Sara Abalo‐Morla; Alessandra Cani; Blanca Feliu‐Tena; Nuria Izaguirre; Jesús Tomás; Eduardo J. Belda",2024,"Identifying the foraging grounds of the new loggerhead turtle nesters in the western Mediterranean","Aquatic Conservation Marine and Freshwater Ecosystems","https://doi.org/10.1002/aqc.4059","https://doi.org/10.1002/aqc.4059","multiple North African","not stated",,"sea turtle","W4390771181","B_regional_corroborated",""
60,"Keznine, M., Mghili, B., Awadh, H., Analla, M. & Aksissou, M.","Mohamed Keznine; Bilal Mghili; Hesham Awadh; Mohamed Analla; Mustapha Aksissou",2024,"Impact of interactions between common bottlenose dolphins and purse-seiners in the Moroccan Mediterranean region: case study in the Al Hoceima fishing grounds","African Journal of Marine Science","https://doi.org/10.2989/1814232x.2024.2310528","https://doi.org/10.2989/1814232x.2024.2310528","Morocco","bycatch","marine","common bottlenose dolphins","W4393069821","A_named_country_corroborated",""
