"openalex_id","title","publication_year","doi","url","source_container","type","conflict_type","country"
"W4385290138","The natural history of lions in North Africa and the relevance of their depiction in the “Lions Attacking a Dromedary” diorama",2023,"https://doi.org/10.1111/cura.12564","https://doi.org/10.1111/cura.12564","Curator The Museum Journal","article","not stated","Algeria"
"W4391378766","Is there an effect of electromagnetic waves from base stations on the breeding success of Ciconia ciconia ciconia in Algeria?",2023,"https://doi.org/10.15421/012358","https://doi.org/10.15421/012358","Biosystems Diversity","article","not stated","Algeria"
"W4382645742","The occurrence of the Chinese Sinanodonta woodiana (Lea, 1834) (Mollusca Bivalvia Unionidae) in Algerian dams",2023,"https://doi.org/10.31396/biodiv.jour.2023.14.2.385.390","https://doi.org/10.31396/biodiv.jour.2023.14.2.385.390","BIODIVERSITY JOURNAL","article","competition for resources","Algeria"
"W4390354179","What does the diet of the Common Starling (Sturnus vulgaris Linnaeus, 1758) in the Ziban Oasis (Algeria) indicate: pest or useful in agriculture?",2023,"https://doi.org/10.35513/21658005.2023.2.10","https://doi.org/10.35513/21658005.2023.2.10","Zoology and Ecology","article","crop damage","Algeria"
"W4390757936","Threats and Mitigation",2023,"https://doi.org/10.4314/vulnew.v83a1.6","https://doi.org/10.4314/vulnew.v83a1.6","Vulture News","article","not stated","Algeria"
"W4283067969","Assessing the use of marine protected areas by loggerhead sea turtles (Caretta caretta) tracked from the western Mediterranean",2022,"https://doi.org/10.1016/j.gecco.2022.e02196","https://doi.org/10.1016/j.gecco.2022.e02196","Global Ecology and Conservation","article","not stated","Algeria"
"W4290786637","Small-scale fisheries catch more threatened elasmobranchs inside partially protected areas than in unprotected areas",2022,"https://doi.org/10.1038/s41467-022-32035-3","https://doi.org/10.1038/s41467-022-32035-3","Nature Communications","article","not stated","Algeria"
"W4223523542","Hotspots in the grid: Avian sensitivity and vulnerability to collision risk from energy infrastructure interactions in Europe and North Africa",2022,"https://doi.org/10.1111/1365-2664.14160","https://doi.org/10.1111/1365-2664.14160","Journal of Applied Ecology","article","not stated","Algeria"
"W4319032897","The major threats to the Endangered Barbary macaque Macaca sylvanus in North Africa",2022,"https://doi.org/10.17161/eurojecol.v8i2.16246","https://doi.org/10.17161/eurojecol.v8i2.16246","European Journal of Ecology","article","competition for resources","Algeria"
"W3133867487","The conservation of the endangered Mediterranean common dolphin (Delphinus delphis): Current knowledge and research priorities",2021,"https://doi.org/10.1002/aqc.3538","https://doi.org/10.1002/aqc.3538","Aquatic Conservation Marine and Freshwater Ecosystems","article",,"Algeria"
"W3108367984","The northern bald ibis Geronticus eremita: history, current status and future perspectives",2020,"https://doi.org/10.1017/s0030605320000198","https://doi.org/10.1017/s0030605320000198","Oryx","article","not stated","Algeria"
"W3017956184","Social-Environmental Analysis for the Management of Coastal Lagoons in North Africa",2020,"https://doi.org/10.3389/fenvs.2020.00037","https://doi.org/10.3389/fenvs.2020.00037","Frontiers in Environmental Science","article","not stated","Algeria"
"W3081500063","A Landscape without Nonhuman Primates? The Case of the Barbary Macaque, Macaca sylvanus, (Linnaeus, 1758) and Its Interaction with Humans throughout Recorded Time",2020,"https://doi.org/10.3390/h9030092","https://doi.org/10.3390/h9030092","Humanities","article","not stated","Algeria"
"W3029444820","First study of sea turtle strandings in Algeria (western Mediterranean) and associated threats: 2016–2017",2020,"https://doi.org/10.3897/herpetozoa.33.e48541","https://doi.org/10.3897/herpetozoa.33.e48541","Herpetozoa","article","bycatch","Algeria"
"W3016553572","Wildlife trafficking and criminogenic asymmetries in a globalised world",2020,"https://doi.org/10.4324/9781315207094-30","https://doi.org/10.4324/9781315207094-30",,"book-chapter","other","Algeria"
"W2981509526","A stranding record of the short‐beaked common dolphin (Delphinus delphis) in Algerian West Coast, during 2008–2012",2019,"https://doi.org/10.1002/aqc.3207","https://doi.org/10.1002/aqc.3207","Aquatic Conservation Marine and Freshwater Ecosystems","article","bycatch","Algeria"
"W4288349131","The shifting distribution of Mediterranean fishes: a spatio-temporal assessment based on Local Ecological Knowledge.",2019,"https://doi.org/10.5281/zenodo.3142266","https://doi.org/10.5281/zenodo.3142266","Zenodo (CERN European Organization for Nuclear Research)","article","not stated","Algeria"
"W4245410401","Ecology of Caracals and Their Distribution in Africa: A Review Paper",2019,"https://doi.org/10.7176/jbah/9-13-05","https://doi.org/10.7176/jbah/9-13-05","Journal of Biology Agriculture and Healthcare","article","not stated","Algeria"
"W2919734443","",2018,,"https://openalex.org/W2919734443","City Research Online (City University London)","book","not stated","Algeria"
"W2605447613","Unravelling the drastic range retraction of an emblematic songbird of North Africa: potential threats to Afro-Palearctic migratory birds",2017,"https://doi.org/10.1038/s41598-017-01103-w","https://doi.org/10.1038/s41598-017-01103-w","Scientific Reports","article",,"Algeria"
"W2411907806","Flexible Turtle Excluder Device (TED): an effective tool for Mediterranean coastal multispecies bottom trawl fisheries",2016,"https://doi.org/10.1051/alr/2016016","https://doi.org/10.1051/alr/2016016","Aquatic Living Resources","article","bycatch","Algeria"
"W2144503057","Another Continental Vulture Crisis: Africa's Vultures Collapsing toward Extinction",2015,"https://doi.org/10.1111/conl.12182","https://doi.org/10.1111/conl.12182","Conservation Letters","article","persecution or retaliatory killing","Algeria"
"W1998876562","Is Diet Flexibility an Adaptive Life Trait for Relictual and Peri-Urban Populations of the Endangered Primate Macaca sylvanus?",2015,"https://doi.org/10.1371/journal.pone.0118596","https://doi.org/10.1371/journal.pone.0118596","PLoS ONE","article","other","Algeria"
"W1972887459","Fiddling in biodiversity hotspots while deserts burn? Collapse of the Sahara's megafauna",2013,"https://doi.org/10.1111/ddi.12157","https://doi.org/10.1111/ddi.12157","Diversity and Distributions","article","not stated","Algeria"
"W2088965171","Examining the Extinction of the Barbary Lion and Its Implications for Felid Conservation",2013,"https://doi.org/10.1371/journal.pone.0060174","https://doi.org/10.1371/journal.pone.0060174","PLoS ONE","article","not stated","Algeria"
"W2159155195","Ecosystem models clarify the trophic role of whales off Northwest Africa",2010,"https://doi.org/10.3354/meps08443","https://doi.org/10.3354/meps08443","Marine Ecology Progress Series","article","competition for resources","Algeria"
"W2299960256","Valorisation des eaux de surface de la réserve de Mergueb (M’sila, Algérie) au profit de la faune sauvage protégée dont la Gazelle de Cuvier, espèce emblématique de la région",2010,"https://doi.org/10.3406/revec.2010.1529","https://doi.org/10.3406/revec.2010.1529","Revue d Écologie (La Terre et La Vie)","article","not stated","Algeria"
"W7139462097","Fisheries Centre research reports. Volume 17, number 2",2009,,"https://openalex.org/W7139462097","cIRcle (University of British Columbia)","report",,"Algeria"
"W13500458","Mitochondrial DNA reveals regional and interregional importance of the central Mediterranean African shelf for loggerhead sea turtles (Caretta caretta)",2008,"https://doi.org/10.3989/scimar.2008.72n3541","https://doi.org/10.3989/scimar.2008.72n3541","Scientia Marina","article","not stated","Algeria"
"W1993434971","Alien Marine Species in the Mediterranean - the 100 ‘Worst Invasives’ and their Impact",2006,"https://doi.org/10.12681/mms.180","https://doi.org/10.12681/mms.180","Mediterranean Marine Science","article","not stated","Algeria"
"W4411617346","10.51847/g9duHRt",2000,"https://doi.org/10.51847/g9duhrt","https://doi.org/10.51847/g9duhrt","Time to knit","article","crop damage","Algeria"
"W7172483144","Historical climatic and human settlement patterns leading up to the extinction of the Arabian leopard in the Sinai Peninsula",2026,"https://doi.org/10.1038/s41598-026-59368-z","https://doi.org/10.1038/s41598-026-59368-z","Scientific Reports","article","not stated","Egypt"
"W7165652291","What do fishermen think? Local perspectives on human–crocodile coexistence in Lake Nasser",2026,"https://doi.org/10.3389/fcosc.2026.1854789","https://doi.org/10.3389/fcosc.2026.1854789","Frontiers in Conservation Science","article","property damage","Egypt"
"W7163541962","Catchability Pattern of Cartilaginous Fishes with an Updated Their Diversity and Distribution Along the Egypt’s Mediterranean Coast: Conservation and Bycatch Challenges",2026,"https://doi.org/10.3390/ani16111730","https://doi.org/10.3390/ani16111730","Animals","article","bycatch","Egypt"
"W7163334447","Bayesian Growth Modeling and Length-Based Indicators: Stock Assessment of Nile Tilapia (Oreochromis niloticus) in Lake Nasser, Egypt",2026,"https://doi.org/10.3390/biology15110868","https://doi.org/10.3390/biology15110868","Biology","article","not stated","Egypt"
"W7138888116","Latest sightings of the striped hyena in North Africa: major threats and conservation actions",2026,"https://doi.org/10.55730/1300-0179.3256","https://doi.org/10.55730/1300-0179.3256","TURKISH JOURNAL OF ZOOLOGY","article","persecution or retaliatory killing","Egypt"
"W4413922878","Nile Crocodiles in Lake Nasser, Egypt, Are Found Close to Fishermen's Camps, Indicating Potential Conflicts",2025,"https://doi.org/10.1002/ece3.71970","https://doi.org/10.1002/ece3.71970","Ecology and Evolution","article","not stated","Egypt"
"W4416097950","Fishing shapes cetacean population density patterns in the Mediterranean basin",2025,"https://doi.org/10.1002/ecog.07919","https://doi.org/10.1002/ecog.07919","Ecography","article","bycatch","Egypt"
"W4408273783","Sustainability and avian biodiversity tensions in wastewater management in arid zones",2025,"https://doi.org/10.1016/j.biocon.2025.111046","https://doi.org/10.1016/j.biocon.2025.111046","Biological Conservation","article","not stated","Egypt"
"W4414163724","Marine biotoxins in Mediterranean seafood: Environmental occurrence and food safety concerns",2025,"https://doi.org/10.1016/j.ecoenv.2025.119032","https://doi.org/10.1016/j.ecoenv.2025.119032","Ecotoxicology and Environmental Safety","article","not stated","Egypt"
"W4408717697","Vulnerable Marine Vertebrates along the Egyptian Mediterranean Coast: Challenges to the Anthropogenic, Fisheries Bycatch and Climatic Changes",2025,"https://doi.org/10.5772/intechopen.1009504","https://doi.org/10.5772/intechopen.1009504","IntechOpen eBooks","book-chapter","bycatch","Egypt"
"W7166600224","Analisi degli attacchi di squali confermati nel Mediterraneo orientale e nel Mar di Marmara (1827-2025)",2025,,"https://openalex.org/W7166600224","DiRROS repository (University of Maribor)","article","attacks on humans","Egypt"
"W4393971019","Tracking data highlight the importance of human-induced mortality for large migratory birds at a flyway scale",2024,"https://doi.org/10.1016/j.biocon.2024.110525","https://doi.org/10.1016/j.biocon.2024.110525","Biological Conservation","article","not stated","Egypt"
"W4392625107","A mini-review on fish mass kills within the Egyptian fisheries and aquaculture sectors: Impacts and proposed solutions",2024,"https://doi.org/10.21608/javs.2024.262508.1308","https://doi.org/10.21608/javs.2024.262508.1308","Journal of Applied Veterinary Sciences/Journal of Applied Veterinary Sciences ","review",,"Egypt"
"W4405163001","Crucial Conservation of Birds and Bats: Providing Ecosystem Services in Egypt",2024,"https://doi.org/10.21608/jpfs.2024.280949.1015","https://doi.org/10.21608/jpfs.2024.280949.1015","Journal of Plant and Food Sciences","article","not stated","Egypt"
"W4407867762","Estimating the Damage of Birds to Wheat, Gurma Melon and Cowpea Crops During the Ripening Period at Sharkia Governorate, Egypt",2024,"https://doi.org/10.22268/ajpp-001281","https://doi.org/10.22268/ajpp-001281","Arab Journal Of Plant Protection","article","crop damage","Egypt"
"W4361010327","Age and Growth of the Freshwater Pufferfish Tetraodon lineatus Linnaeus 1758 from Lake Nasser, Egypt",2023,"https://doi.org/10.21608/ejabf.2023.292280","https://doi.org/10.21608/ejabf.2023.292280","Egyptian Journal of Aquatic Biology and Fisheries","article","not stated","Egypt"
"W4378554658","The Impact of Airports Bird Hazard Management on Climate Changes and Bird-watching Tourism: Applying to Sharm El-Sheikh International Airport",2023,"https://doi.org/10.21608/jaauth.2023.197185.1429","https://doi.org/10.21608/jaauth.2023.197185.1429","Journal of Association of Arab Universities for Tourism and Hospitality","article","other","Egypt"
"W4379795531","The Red Sea Fisheries - Threats and Proposed Solutions",2023,"https://doi.org/10.59660/45115","https://doi.org/10.59660/45115","AIN Journal","article","bycatch","Egypt"
"W4380050798","The Red Sea Fisheries - Threats and Proposed Solutions",2023,"https://doi.org/10.59660/45125","https://doi.org/10.59660/45125","AIN Journal","article","bycatch","Egypt"
"W4290786637","Small-scale fisheries catch more threatened elasmobranchs inside partially protected areas than in unprotected areas",2022,"https://doi.org/10.1038/s41467-022-32035-3","https://doi.org/10.1038/s41467-022-32035-3","Nature Communications","article","not stated","Egypt"
"W4223523542","Hotspots in the grid: Avian sensitivity and vulnerability to collision risk from energy infrastructure interactions in Europe and North Africa",2022,"https://doi.org/10.1111/1365-2664.14160","https://doi.org/10.1111/1365-2664.14160","Journal of Applied Ecology","article","not stated","Egypt"
"W4307710763","Damage of the Egyptian Fruit Bat (Rousettus aegyptiacus) at El-Dakhla Oasis, New-Valley Governorate, Egypt",2022,"https://doi.org/10.18805/ijare.af-743","https://doi.org/10.18805/ijare.af-743","Indian Journal of Agricultural Research","article","crop damage","Egypt"
"W4294096698","Losses of tomato crop by wild birds in El-Beheira and Matrouh governorates, Egypt",2022,"https://doi.org/10.21608/ajar.2022.255498","https://doi.org/10.21608/ajar.2022.255498","Al-Azhar Journal of Agricultural Research","article","crop damage","Egypt"
"W4292236166","Impact of a Wind Energy Projects on Bird Migration Gabel Al-Zeit - Eastern Desert, Egypt",2022,"https://doi.org/10.21608/cat.2022.147050.1134","https://doi.org/10.21608/cat.2022.147050.1134","Catrina The International Journal of Environmental Sciences","article","other","Egypt"
"W4303646489","Age, Growth and mortality of the rabbit fish Siganus rivulatus (Forsskål 1775) from the Egyptian Mediterranean coast off Alexandria, Egypt",2022,"https://doi.org/10.21608/ejabf.2022.264477","https://doi.org/10.21608/ejabf.2022.264477","Egyptian Journal of Aquatic Biology and Fisheries","article","not stated","Egypt"
"W4303646466","Herbivorous Reef Fishes of South Sinai Marine Protected Areas (Gulf of Aqaba, Egypt): Influence of Fisheries Management and Protection Status",2022,"https://doi.org/10.21608/ejabf.2022.264541","https://doi.org/10.21608/ejabf.2022.264541","Egyptian Journal of Aquatic Biology and Fisheries","article","not stated","Egypt"
"W4303685494","The Blue Swimming Crab Portunus segnis in the Mediterranean Sea: Invasion Paths, Impacts and Management Measures",2022,"https://doi.org/10.3390/biology11101473","https://doi.org/10.3390/biology11101473","Biology","article","not stated","Egypt"
"W4393365762","Human - Waterbird interactions : Uses of waterbird populations by local communities in major Sahelo-Saharan wetlands : towards sustainable management?",2022,,"https://openalex.org/W4393365762","theses.fr (ABES)","dissertation",,"Egypt"
"W3133867487","The conservation of the endangered Mediterranean common dolphin (Delphinus delphis): Current knowledge and research priorities",2021,"https://doi.org/10.1002/aqc.3538","https://doi.org/10.1002/aqc.3538","Aquatic Conservation Marine and Freshwater Ecosystems","article",,"Egypt"
"W3203855821","First record of Pteroplatytrygon violacea (Bonaparte, 1832) with annotation of cartilaginous fishes by-catch by gill nets (Egyptian Mediterranean)",2021,"https://doi.org/10.1016/j.ejar.2021.09.002","https://doi.org/10.1016/j.ejar.2021.09.002","The Egyptian Journal of Aquatic Research","article","bycatch","Egypt"
"W3200894589","Herbivorous fish of Sinai marine protected areas (Gulf of Aqaba): Structure baseline for potential thermal stress impact management",2021,"https://doi.org/10.1101/2021.09.17.460804","https://doi.org/10.1101/2021.09.17.460804","bioRxiv (Cold Spring Harbor Laboratory)","preprint","not stated","Egypt"
"W3165463768","Sinai: Tourism, Colonialism, and Sea",2021,"https://doi.org/10.16995/jer.85","https://doi.org/10.16995/jer.85","Journal of Embodied Research","article","other","Egypt"
"W3196770489","Economic Losses Caused By Rodents in Some Cultivars of Rodents in Maize Fields",2021,"https://doi.org/10.18535/raj/v4i09.02","https://doi.org/10.18535/raj/v4i09.02","Research and Analysis Journal","article","crop damage","Egypt"
"W3183573263","Assessment of damage caused by rodents in some maize varieties in Farshut area, Qena governorate, Egypt",2021,"https://doi.org/10.21608/aasj.2021.65638.1057","https://doi.org/10.21608/aasj.2021.65638.1057","Archives of Agriculture Sciences Journal/Archives of Agriculture Sciences Journal ","article","crop damage","Egypt"
"W3164722733","Linking Territorial and Coastal Planning: Conservation Status and Management of Mangrove Ecosystem at the Egyptian - African Red Sea Coast",2021,"https://doi.org/10.21608/aujes.2021.65951.1013","https://doi.org/10.21608/aujes.2021.65951.1013","Aswan University Journal of Environmental Studies","article","other","Egypt"
"W3134637697","Status of Indo-Pacific Bottlenose Dolphin, Tursiops aduncus (Family Delphinidae: Order Cetacea) in the Northern Protected Islands, Hurghada, Red Sea, Egypt",2021,"https://doi.org/10.21608/ejabf.2021.149307","https://doi.org/10.21608/ejabf.2021.149307","Egyptian Journal of Aquatic Biology and Fisheries","article","other","Egypt"
"W3183479500","Economic losses caused by rodents in some types of maize fields at Farshout District, Qena Governorate, Egypt",2021,"https://doi.org/10.36811/ijpsh.2021.110031","https://doi.org/10.36811/ijpsh.2021.110031",,"article","crop damage","Egypt"
"W3186672508","Incidental catch of vulnerable species in Mediterranean and Black Sea fisheries - A review",2021,"https://doi.org/10.4060/cb5405en","https://doi.org/10.4060/cb5405en","FAO eBooks","book","bycatch","Egypt"
"W3108294470","How human intervention and climate change shaped the fate of the Northern Bald Ibis from ancient Egypt to the presence: an interdisciplinary approach to extinction and recovery of an iconic bird species",2020,"https://doi.org/10.1101/2020.11.25.397570","https://doi.org/10.1101/2020.11.25.397570","bioRxiv (Cold Spring Harbor Laboratory)","preprint","not stated","Egypt"
"W3110888851","Major threats to a migratory raptor vary geographically along the eastern Mediterranean flyway",2020,"https://doi.org/10.1101/2020.12.16.422983","https://doi.org/10.1101/2020.12.16.422983","bioRxiv (Cold Spring Harbor Laboratory)","preprint","persecution or retaliatory killing","Egypt"
"W3108985652","Impact of Nile Crocodiles on Fish Production in Lake Nasser",2020,"https://doi.org/10.21608/aujes.2020.124535","https://doi.org/10.21608/aujes.2020.124535","Aswan University Journal of Environmental Studies","article","competition for resources","Egypt"
"W3090749294","Status of Sepia officinalis and 19 Main Fisheries Species Caught from Southeast Mediterranean Sea, North Sinai, Egypt.",2020,"https://doi.org/10.21608/ejabf.2020.116577","https://doi.org/10.21608/ejabf.2020.116577","Egyptian Journal of Aquatic Biology and Fisheries","article","not stated","Egypt"
"W3134709212","Scaring Birds: The concept of the Scarecrow in Ancient Egypt",2020,"https://doi.org/10.21608/ijhth.2020.154143","https://doi.org/10.21608/ijhth.2020.154143","International Journal of Heritage, Tourism, and Hospitality","article","crop damage","Egypt"
"W3017956184","Social-Environmental Analysis for the Management of Coastal Lagoons in North Africa",2020,"https://doi.org/10.3389/fenvs.2020.00037","https://doi.org/10.3389/fenvs.2020.00037","Frontiers in Environmental Science","article","not stated","Egypt"
"W2969873458","Population ecology and the management of whale watching operations on a data‐deficient dolphin population",2019,"https://doi.org/10.1002/ece3.5565","https://doi.org/10.1002/ece3.5565","Ecology and Evolution","article","not stated","Egypt"
"W3003427061","RODENT DAMAGE AND CONTROL IN WHEAT GROWING STAGES, SOHAG GOVERNORATE, EGYPT",2019,"https://doi.org/10.21608/ejar.2019.68569","https://doi.org/10.21608/ejar.2019.68569","Egyptian Journal of Agricultural Research","article","crop damage","Egypt"
"W4288349131","The shifting distribution of Mediterranean fishes: a spatio-temporal assessment based on Local Ecological Knowledge.",2019,"https://doi.org/10.5281/zenodo.3142266","https://doi.org/10.5281/zenodo.3142266","Zenodo (CERN European Organization for Nuclear Research)","article","not stated","Egypt"
"W4245410401","Ecology of Caracals and Their Distribution in Africa: A Review Paper",2019,"https://doi.org/10.7176/jbah/9-13-05","https://doi.org/10.7176/jbah/9-13-05","Journal of Biology Agriculture and Healthcare","article","not stated","Egypt"
"W2954627580","Water Hyacinth (Eichhornia crassipes) Biology and Its Impacts on Ecosystem, Biodiversity, Economy and Human Well-being",2019,"https://doi.org/10.7176/jnsr/9-12-04","https://doi.org/10.7176/jnsr/9-12-04",,"article","not stated","Egypt"
"W2801429878","Assessing the applicability of stable isotope analysis to determine the contribution of landfills to vultures’ diet",2018,"https://doi.org/10.1371/journal.pone.0196044","https://doi.org/10.1371/journal.pone.0196044","PLoS ONE","article","not stated","Egypt"
"W3121622394","DETERMINATION OF HOODED CROW (CORVUS CORONE L.) POPULATION AND METHODS OF CONTROL IN SHEEP FARM AT RAS SEDR, SOUTH SINAI, EGYPT",2018,"https://doi.org/10.21608/ejar.2018.142667","https://doi.org/10.21608/ejar.2018.142667","Egyptian Journal of Agricultural Research","article",,"Egypt"
"W2981571986","SURVEYS OF WILD VERTEBRATES IN THE KHARGA AND DAKHLA OASIS AND THEIR IMPACT ON THE NEW RECLAMATION AREAS IN EGYPT",2018,"https://doi.org/10.21608/ejdr.2019.12939.1028","https://doi.org/10.21608/ejdr.2019.12939.1028","Egyptian Journal of Desert Research","article","competition for resources","Egypt"
"W2976496276","AN ESTIMATION OF BIRD DAMAGES ON SOME FIELD, VEGETABLE AND FRUIT CROPS AT SHARKIA GOVERNORATE, EGYPT",2018,"https://doi.org/10.21608/zjar.2018.48571","https://doi.org/10.21608/zjar.2018.48571","Zagazig Journal of Agricultural Research","article","crop damage","Egypt"
"W2289557866","Preliminary assessment of the scope and scale of illegal killing and taking of birds in the Mediterranean",2016,"https://doi.org/10.1017/s0959270915000416","https://doi.org/10.1017/s0959270915000416","Bird Conservation International","article","not stated","Egypt"
"W2411907806","Flexible Turtle Excluder Device (TED): an effective tool for Mediterranean coastal multispecies bottom trawl fisheries",2016,"https://doi.org/10.1051/alr/2016016","https://doi.org/10.1051/alr/2016016","Aquatic Living Resources","article","bycatch","Egypt"
"W2316595866","Shelf life: neritic habitat use of a turtle population highly threatened by fisheries",2016,"https://doi.org/10.1111/ddi.12440","https://doi.org/10.1111/ddi.12440","Diversity and Distributions","article","bycatch","Egypt"
"W2528835440","Conservation of the spinner dolphin in the Egyptian Red Sea",2016,"https://doi.org/10.13140/rg.2.2.28830.15685","https://doi.org/10.13140/rg.2.2.28830.15685","Otago University Research Archive (University of Otago)","dissertation","not stated","Egypt"
"W2568954900","A Cultural Herpetology of Nile Crocodiles in Africa",2016,"https://doi.org/10.4103/0972-4923.197609","https://doi.org/10.4103/0972-4923.197609","Conservation and Society","article","not stated","Egypt"
"W2513225841","Liposomal Microencapsulation of Rodent-repelling Agents onto Jute Burlaps: Assessment of Cytotoxicity and Rat Behavioral Test",2016,"https://doi.org/10.7324/japs.2016.60822","https://doi.org/10.7324/japs.2016.60822","Journal of Applied Pharmaceutical Science","article","not stated","Egypt"
"310900409","Shelf life: Neritic habitat use of a turtle population highly threatened by fisheries",2016,,"310900409","Open Research Exeter - University of Exeter",,"bycatch","Egypt"
"W2290921243","Hunting of migratory birds in North Sinai, Egypt",2015,"https://doi.org/10.1017/s0959270915000180","https://doi.org/10.1017/s0959270915000180","Bird Conservation International","article","not stated","Egypt"
"W2144503057","Another Continental Vulture Crisis: Africa's Vultures Collapsing toward Extinction",2015,"https://doi.org/10.1111/conl.12182","https://doi.org/10.1111/conl.12182","Conservation Letters","article","persecution or retaliatory killing","Egypt"
"W2016312766","Migratory corridors and foraging hotspots: critical habitats identified for Mediterranean green turtles",2015,"https://doi.org/10.1111/ddi.12317","https://doi.org/10.1111/ddi.12317","Diversity and Distributions","article","bycatch","Egypt"
"W2341723205","The impact of Bedouin agricultural gardens on biodiversity in South Sinai, Egypt",2015,,"https://openalex.org/W2341723205","Nottingham ePrints (University of Nottingham)","dissertation","not stated","Egypt"
"312874712","Migratory corridors and foraging hotspots: Critical habitats identified for Mediterranean green turtles",2015,,"312874712","Open Research Exeter - University of Exeter",,"bycatch","Egypt"
"W1972887459","Fiddling in biodiversity hotspots while deserts burn? Collapse of the Sahara's megafauna",2013,"https://doi.org/10.1111/ddi.12157","https://doi.org/10.1111/ddi.12157","Diversity and Distributions","article","not stated","Egypt"
